"code_ccbio","genus","species","common_name","species_symbol","spcd","nb_parcelles","lat_max","essence","ess","nom_latin","nom_francais","famille"
"","","","","","","","","FZ","","","Feuillus plantés indéterminés",""
"","","","","","","","","ME","","","Mélèze européen",""
"","","","","","","","","PH","","","Peuplier hybride","Salicaceae"
"","","","","","","","","PI","","","Combinaison des pins",""
"","","","","","","","","PO","","","Peuplier européen","Salicaceae"
"","","","","","","","","PE","","","Combinaison des peupliers",""
"","","","","","","","","RZ","","","Résineux plantés indéterminés",""
"","","","","","","","","SE","","","Association de sapin et d'épinette blanche",""
"","","","","","","","","CP","","Quercus pedonculata","Chêne pédonculé","Fagaceae"
"","","","","","","","","EV","","Picea abies","Épinette de Norvège","Pinaceae"
"","","","","","","","","CH","","","Combinaison des chênes",""
"","","","","","","","","EP","","","Combinaison des épinettes",""
"","","","","","","","","PS","","Pinus sylvestris","Pin sylvestre (d'Écosse)","Pinaceae"
"","","","","","","","","RX","","","Résineux indéterminés",""
